UT,AU,AF,C1
WOS:000388576700005,"Bordalo, P; Coffman, K; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Coffman, Katherine; Gennaioli, Nicola; Shleifer, Andrei","[Bordalo, Pedro] Univ Oxford, Said Business Sch, Oxford, England; Ohio State Univ, Columbus, OH 43210 USA; Harvard Sch Business, Boston, MA USA; Univ Bocconi, Milan, Italy; Harvard Univ, Innocenzo Gasparini Inst Econ Res, Cambridge, MA 02138 USA"
WOS:000383326100008,"Bleakley, H; Ferrie, J","Bleakley, Hoyt; Ferrie, Joseph","[Bleakley, Hoyt] Univ Michigan, Ann Arbor, MI 48109 USA; [Bleakley, Hoyt; Ferrie, Joseph] Natl Bur Econ Res, Cambridge, MA 02138 USA; Northwestern Univ, Evanston, IL 60208 USA"
WOS:000346660500001,"Chetty, R; Hendren, N; Kline, P; Saez, E","Chetty, Raj; Hendren, Nathaniel; Kline, Patrick; Saez, Emmanuel","[Chetty, Raj] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000336146600001,"Feenstra, RC; Romalis, J","Feenstra, Robert C.; Romalis, John","[Feenstra, Robert C.] Univ Calif Davis, Davis, CA 95616 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Sydney, Sydney, NSW 2006, Australia"
WOS:000793997100001,"Folke, O; Rickne, J","Folke, Olle; Rickne, Johanna","[Folke, Olle] Uppsala Univ, Uppsala, Sweden; Stockholm Univ, SOFI, Stockholm, Sweden"
WOS:000764079400001,"Aneja, A; Xu, G","Aneja, Abhay; Xu, Guo","[Aneja, Abhay] Univ Calif Berkeley, Berkeley, CA 94720 USA; NBER, Cambridge, MA 02138 USA"
WOS:000672777600002,"Coibion, O; Gorodnichenko, Y; Kumar, S; Ryngaert, J","Coibion, Olivier; Gorodnichenko, Yuriy; Kumar, Saten; Ryngaert, Jane","[Coibion, Olivier] Univ Texas Austin, Austin, TX 78712 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; [Gorodnichenko, Yuriy] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Kumar, Saten] Auckland Univ Technol, Auckland, New Zealand; [Ryngaert, Jane] Wake Forest Univ, Winston Salem, NC 27101 USA"
WOS:000593217300008,"Bigio, S; La'O, J","Bigio, Saki; La'O, Jennifer","[Bigio, Saki] Univ Calif Los Angeles, Los Angeles, CA 90024 USA; [Bigio, Saki; La'O, Jennifer] NBER, Cambridge, MA 02138 USA; [La'O, Jennifer] Columbia Univ, New York, NY 10027 USA"
WOS:000489162800006,"Cengiz, D; Dube, A; Lindner, A; Zipperer, B","Cengiz, Doruk; Dube, Arindrajit; Lindner, Attila; Zipperer, Ben","[Cengiz, Doruk; Dube, Arindrajit] Univ Massachusetts, Amherst, MA 01003 USA; [Dube, Arindrajit] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Dube, Arindrajit; Lindner, Attila] Inst Labor Econ, Bonn, Germany; [Lindner, Attila] UCL, London, England; [Lindner, Attila] Hungarian Acad Sci, Res Ctr Econ & Reg Studies, Budapest, Hungary; [Zipperer, Ben] Econ Policy Inst, Washington, DC USA"
WOS:000489162100005,"Burke, M; Bergquist, LF; Miguel, E","Burke, Marshall; Bergquist, Lauren Falcao; Miguel, Edward","[Burke, Marshall] Stanford Univ, Stanford, CA 94305 USA; [Burke, Marshall; Miguel, Edward] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Bergquist, Lauren Falcao] Univ Michigan, Ann Arbor, MI 48109 USA; [Miguel, Edward] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000406177000009,"Célérier, C; Vallée, B","Celerier, Claire; Vallee, Boris","[Celerier, Claire] Univ Toronto, Toronto, ON, Canada; Harvard Sch Business, Boston, MA USA"
WOS:000401981500005,"Muir, T","Muir, Tyler","[Muir, Tyler] Univ Calif Los Angeles, Anderson Sch Management, Los Angeles, CA 90024 USA; [Muir, Tyler] NBER, Cambridge, MA 02138 USA"
WOS:000365535400002,"Baicker, K; Mullainathan, S; Schwartzstein, J","Baicker, Katherine; Mullainathan, Sendhil; Schwartzstein, Joshua","[Baicker, Katherine] Harvard Univ, Cambridge, MA 02138 USA; Harvard Univ, Sch Business, Cambridge, MA 02138 USA"
WOS:000365535400006,"Squicciarini, MP; Voigtländer, N","Squicciarini, Mara P.; Voigtlaender, Nico","[Squicciarini, Mara P.] KULeuven, Leuven, Belgium; Univ Calif Los Angeles, Anderson Sch Management, NBER, Los Angeles, CA 90024 USA"
WOS:000354733000010,"Callander, S; Harstad, B","Callander, Steven; Harstad, Bard","[Callander, Steven] Stanford Univ, Stanford, CA 94305 USA; Univ Oslo, N-0316 Oslo, Norway"
WOS:000354733000005,"Wantchekon, L; Klasnja, M; Novta, N","Wantchekon, Leonard; Klasnja, Marko; Novta, Natalija","[Wantchekon, Leonard] Princeton Univ, Princeton, NJ 08544 USA; Princeton Univ, African Sch Econ Ctr, Study Democrat Polit, Princeton, NJ 08544 USA; Int Monetary Fund, Washington, DC 20431 USA"
WOS:000342236000004,"Gennaioli, N; Shleifer, A; Vishny, R","Gennaioli, Nicola; Shleifer, Andrei; Vishny, Robert","[Gennaioli, Nicola] Univ Bocconi, Milan, Italy; Harvard Univ, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA"
WOS:001018021300001,"Esponda, I; Oprea, R; Yuksel, S","Esponda, Ignacio; Oprea, Ryan; Yuksel, Sevgi","[Esponda, Ignacio; Oprea, Ryan; Yuksel, Sevgi] Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA"
WOS:000935197700001,"Babina, T; He, AX; Howell, ST; Perlman, ER; Staudt, J","Babina, Tania; He, Alex Xi; Howell, Sabrina T.; Perlman, Elisabeth Ruth; Staudt, Joseph","[Babina, Tania] Columbia Univ, New York, NY 10027 USA; [He, Alex Xi] Univ Maryland, College Pk, MD USA; [Howell, Sabrina T.] NYU, New York, NY USA; [Howell, Sabrina T.] Natl Bur Econ Res, New York, NY USA; [Perlman, Elisabeth Ruth; Staudt, Joseph] US Census Bur, Hillcrest Hts, MD USA"
WOS:000763802200001,"Chan, DC; Gentzkow, M; Yu, C","Chan, David C.; Gentzkow, Matthew; Yu, Chuan","[Chan, David C.] Stanford Univ, Dept Vet Affairs, Stanford, CA 94305 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Stanford Univ, Stanford, CA 94305 USA"
WOS:000728439200009,"Bertrand, M; Bombardini, M; Fisman, R; Hackinen, B; Trebbi, F","Bertrand, Marianne; Bombardini, Matilde; Fisman, Raymond; Hackinen, Brad; Trebbi, Francesco","[Bertrand, Marianne] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Ctr Econ Policy Res, London, England; Univ Calif Berkeley, Haas Sch Business, Berkeley, CA 94720 USA; Boston Univ, Boston, MA 02215 USA; Western Univ, Ivey Sch Business, London, ON, Canada"
WOS:000642334600001,"Jäger, S; Schoefer, B; Heining, J","Jager, Simon; Schoefer, Benjamin; Heining, Joerg","[Jager, Simon] MIT, Cambridge, MA 02139 USA; [Jager, Simon] NBER, Cambridge, MA 02138 USA; [Schoefer, Benjamin] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Heining, Joerg] Inst Employment Res IAB, Nurnberg, Germany"
WOS:000642334600009,"Macchiavello, R; Morjaria, A","Macchiavello, Rocco; Morjaria, Ameet","[Macchiavello, Rocco] London Sch Econ & Polit Sci, London, England; [Morjaria, Ameet] Northwestern Univ, Kellogg Sch Management, Evanston, IL 60208 USA"
WOS:000544017700004,"Bordalo, P; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Gennaioli, Nicola; Shleifer, Andrei","[Bordalo, Pedro] Univ Oxford, Oxford, England; [Gennaioli, Nicola] Bocconi Univ, Milan, Italy; [Gennaioli, Nicola] Innocenzo Gasparini Inst Econ Res, Milan, Italy; [Shleifer, Andrei] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000544017700006,"Caballero, RJ; Simsek, A","Caballero, Ricardo J.; Simsek, Alp","[Caballero, Ricardo J.; Simsek, Alp] MIT, Cambridge, MA 02139 USA; [Caballero, Ricardo J.; Simsek, Alp] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Caballero, Ricardo J.; Simsek, Alp] Ctr Econ Policy Res, Washington, DC USA"
WOS:000406177000002,"Atkin, D; Chaudhry, A; Chaudry, S; Khandelwal, AK; Verhoogen, E","Atkin, David; Chaudhry, Azam; Chaudry, Shamyla; Khandelwal, Amit K.; Verhoogen, Eric","[Atkin, David] MIT, Cambridge, MA 02139 USA; Lahore Sch Econ, Lahore, Pakistan; Columbia Univ, New York, NY 10027 USA"
WOS:000401981500007,"Angrist, JD; Hull, PD; Pathak, PA; Walters, CR","Angrist, Joshua D.; Hull, Peter D.; Pathak, Parag A.; Walters, Christopher R.","[Angrist, Joshua D.] MIT, Cambridge, MA 02139 USA; NBER, Cambridge, MA 02138 USA; Univ Calif Berkeley, Berkeley, CA USA"
WOS:000351525000008,"Busse, MR; Pope, DG; Pope, JC; Silva-Risso, J","Busse, Meghan R.; Pope, Devin G.; Pope, Jaren C.; Silva-Risso, Jorge","[Busse, Meghan R.] Northwestern Univ, Evanston, IL 60208 USA; NBER, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA; Brigham Young Univ, Provo, UT 84602 USA; Univ Calif Riverside, Riverside, CA 92521 USA"
WOS:000351525000006,"Caselli, F; Morelli, M; Rohner, D","Caselli, Francesco; Morelli, Massimo; Rohner, Dominic","[Caselli, Francesco] London Sch Econ, London, England; BREAD, Vienna, Austria; CEP, London, England; CEPR, London, England; CFM, Melun, France; NBER, Cambridge, MA 02138 USA; Bocconi Univ, Milan, Italy; IGIER, Milan, Italy; Univ Lausanne, CH-1015 Lausanne, Switzerland"
WOS:000336146600003,"Karlan, D; Osei, R; Osei-Akoto, I; Udry, C","Karlan, Dean; Osei, Robert; Osei-Akoto, Isaac; Udry, Christopher","[Karlan, Dean] Yale Univ, Abdul Latif Jameel Poverty Act Lab, New Haven, CT 06520 USA; [Karlan, Dean] Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Ghana, Legon, Ghana; Yale Univ, New Haven, CT 06520 USA"
WOS:001017928700001,"Finlay, K; Mueller-Smith, M; Street, B","Finlay, Keith; Mueller-Smith, Michael; Street, Brittany","[Finlay, Keith] US Census Bur, Washington, DC 20233 USA; Univ Michigan, Ann Arbor, MI USA; Univ Missouri, Columbia, MO USA"
WOS:000836166500001,"Greenberg, K; Gudgeon, M; Isen, A; Miller, C; Patterson, R","Greenberg, Kyle; Gudgeon, Matthew; Isen, Adam; Miller, Corbin; Patterson, Richard","[Greenberg, Kyle] US Mil Acad, West Point, NY 10996 USA; US Dept Treasury, Washington, DC 20226 USA; Brigham Young Univ, Provo, UT 84602 USA"
WOS:000764873200001,"Balboni, C; Bandiera, O; Burgess, R; Ghatak, M; Heil, A","Balboni, Clare; Bandiera, Oriana; Burgess, Robin; Ghatak, Maitreesh; Heil, Anton","[Balboni, Clare] MIT, Cambridge, MA 02139 USA; Int Growth Ctr, London, England; London Sch Econ, London, England; Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000642334600010,"Christensen, D; Dube, O; Haushofer, J; Siddiqi, B; Voors, M","Christensen, Darin; Dube, Oeindrila; Haushofer, Johannes; Siddiqi, Bilal; Voors, Maarten","[Christensen, Darin] Univ Calif Los Angeles, Luskin Sch Publ Affairs, Los Angeles, CA 90095 USA; [Dube, Oeindrila] Univ Chicago, Harris Sch Publ Policy, Chicago, IL 60637 USA; [Dube, Oeindrila] NBER, Cambridge, MA 02138 USA; [Dube, Oeindrila] Stockholm Univ, Stockholm, Sweden; [Haushofer, Johannes] Max Planck Inst Collect Goods, Bonn, Germany; [Haushofer, Johannes] Inst Ind Econ, Stockholm, Sweden; [Siddiqi, Bilal] Univ Calif Berkeley, Ctr Effect Global Act, Berkeley, CA 94720 USA; [Voors, Maarten] Wageningen Univ & Res, Wageningen, Netherlands"
WOS:000672777600007,"Hartzmark, SM; Hirshman, SD; Imas, A","Hartzmark, Samuel M.; Hirshman, Samuel D.; Imas, Alex","[Hartzmark, Samuel M.] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Colorado, Leeds Sch Business, Boulder, CO 80309 USA"
WOS:000612198000012,"Harel, M; Mossel, E; Strack, P; Tamuz, O","Harel, Matan; Mossel, Elchanan; Strack, Philipp; Tamuz, Omer","[Harel, Matan] Tel Aviv Univ, Tel Aviv, Israel; [Mossel, Elchanan] MIT, Cambridge, MA 02139 USA; [Strack, Philipp] Yale Univ, New Haven, CT 06520 USA; [Tamuz, Omer] CALTECH, Pasadena, CA 91125 USA"
WOS:000544017700010,"Kamada, Y; Sugaya, T","Kamada, Yuichiro; Sugaya, Takuo","[Kamada, Yuichiro; Sugaya, Takuo] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Kamada, Yuichiro; Sugaya, Takuo] Stanford Univ, Stanford, CA 94305 USA"
WOS:000396771300010,"Battaglini, M","Battaglini, Marco","[Battaglini, Marco] Cornell Univ, Ithaca, NY 14853 USA; [Battaglini, Marco] EIEF, Rome, Italy"
WOS:000371602500002,"Malmendier, U; Nagel, S","Malmendier, Ulrike; Nagel, Stefan","[Malmendier, Ulrike] Univ Calif Berkeley, Natl Bur Econ Res, Berkeley, CA 94720 USA; Univ Calif Berkeley, Ctr Econ Policy Res, Berkeley, CA 94720 USA; Univ Michigan, Natl Bur Econ Res, Ann Arbor, MI 48109 USA; Univ Michigan, Ctr Econ Policy Res, Ann Arbor, MI 48109 USA"
WOS:000346660500005,"Brunnermeier, MK; Simsek, A; Xiong, W","Brunnermeier, Markus K.; Simsek, Alp; Xiong, Wei","[Brunnermeier, Markus K.] Princeton Univ, Princeton, NJ 08544 USA; NBER, Cambridge, MA 02138 USA; MIT, Cambridge, MA 02139 USA"
WOS:000342236000009,"Olea, JLM; Strzalecki, T","Olea, Jose Luis Montiel; Strzalecki, Tomasz","[Olea, Jose Luis Montiel] NYU, New York, NY 10003 USA; Harvard Univ, Cambridge, MA 02138 USA"
WOS:000336146600006,"Puga, D; Trefler, D","Puga, Diego; Trefler, Daniel","[Puga, Diego] CEMFI, Madrid, Spain; CEPR, Washington, DC USA; Univ Toronto, Toronto, ON M5S 1A1, Canada"
WOS:000926656800001,"Dix-Carneiro, R; Pessoa, JP; Reyes-Heroles, R; Traiberman, S","Dix-Carneiro, Rafael; Pessoa, Joao Paulo; Reyes-Heroles, Ricardo; Traiberman, Sharon","[Dix-Carneiro, Rafael] Duke Univ, Durham, NC 27706 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Bur Res & Econ Anal Dev, London, England; FGV Sao Paulo Sch Econ, Sao Paulo, Brazil; Ctr Econ Performance, London, England; Fed Reserve Board, Washington, DC USA; NYU, New York, NY 10003 USA"
WOS:000806495000001,"Deshpande, M; Mueller-Smith, M","Deshpande, Manasi; Mueller-Smith, Michael","[Deshpande, Manasi] Univ Chicago, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; Social Secur Adm, Woodlawn, MD USA; Univ Michigan, Ann Arbor, MI 48109 USA"
WOS:000764043900001,"Alvarez, F; Lippi, F; Oskolkov, A","Alvarez, Fernando; Lippi, Francesco; Oskolkov, Aleksei","[Alvarez, Fernando] Univ Chicago, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; LUISS Univ, Rome, Italy; Einaudi Inst Econ & Finance, Rome, Italy"
WOS:000728439200003,"Heldring, L; Robinson, JA; Vollmer, S","Heldring, Leander; Robinson, James A.; Vollmer, Sebastian","[Heldring, Leander] Northwestern Univ, Evanston, IL 60208 USA; Univ Chicago, Chicago, IL 60637 USA; Univ Gottingen, Gottingen, Germany"
WOS:000612198000001,"Goldin, J; Lurie, IZ; McCubbin, J","Goldin, Jacob; Lurie, Ithai Z.; McCubbin, Janet","[Goldin, Jacob] Stanford Univ, Stanford, CA 94305 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; US Dept Treasury, Off Tax Anal, Washington, DC 20226 USA"
WOS:000544015700002,"Autor, D; Dorn, D; Katz, LF; Patterson, C; Van Reenen, J","Autor, David; Dorn, David; Katz, Lawrence F.; Patterson, Christina; Van Reenen, John","[Autor, David; Van Reenen, John] MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Katz, Lawrence F.; Patterson, Christina] NBER, Cambridge, MA 02138 USA; [Dorn, David] Univ Zurich, Zurich, Switzerland; [Dorn, David] Ctr Econ Policy Res, London, England; [Katz, Lawrence F.] Harvard Univ, Cambridge, MA 02138 USA; [Patterson, Christina] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; [Van Reenen, John] London Sch Econ, London, England"
WOS:000489162100001,"Young, A","Young, Alwyn","[Young, Alwyn] London Sch Econ, London, England"
WOS:000489161300006,"Burchardi, KB; Gulesci, S; Lerva, B; Sulaiman, M","Burchardi, Konrad B.; Gulesci, Selim; Lerva, Benedetta; Sulaiman, Munshi","[Burchardi, Konrad B.; Lerva, Benedetta] Stockholm Univ, Inst Int Econ Studies, Stockholm, Sweden; Bur Res & Econ Anal Dev, Cambridge, MA USA; [Gulesci, Selim] Bocconi Univ, Ctr Econ Policy Res, Innocenzo Gasparini Inst Econ Res, Milan, Italy; [Gulesci, Selim] Bocconi Univ, Lab Effect Antipoverty Policies, Milan, Italy; Stockholm Univ, Inst Int Econ Studies, Ctr Econ Policy Res, Stockholm, Sweden; [Sulaiman, Munshi] BRAC Inst Governance & Dev, Dhaka, Bangladesh"
WOS:000435871300005,"Hoffman, M; Kahn, LB; Li, D","Hoffman, Mitchell; Kahn, Lisa B.; Li, Danielle","[Hoffman, Mitchell] Univ Toronto, Toronto, ON, Canada; Natl Bur Econ Res, Cambridge, MA 02138 USA; Yale Univ, New Haven, CT 06520 USA; MIT, Natl Bur Econ Res, 77 Massachusetts Ave, Cambridge, MA 02139 USA"
WOS:000423802600003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J","Agarwal, Sumit; Chomsisengphet, Souphala; Mahoney, Neale; Stroebel, Johannes","[Agarwal, Sumit] Georgetown Univ, Washington, DC 20057 USA; Off Comptroller Currency, Washington, DC USA; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; NYU, Stern Sch Business, New York, NY USA; CEPR, Cambridge, MD USA"
WOS:000423802600010,"Embrey, M; Fréchette, GR; Yuksel, S","Embrey, Matthew; Frechette, Guillaume R.; Yuksel, Sevgi","[Embrey, Matthew] Univ Sussex, Brighton, E Sussex, England; NYU, New York, NY 10003 USA; Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA"
WOS:000423802600009,"Wiswall, M; Zafar, B","Wiswall, Matthew; Zafar, Basit","[Wiswall, Matthew] Univ Wisconsin, Madison, WI 53706 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Arizona State Univ, Tempe, AZ 85287 USA"
WOS:000388576700004,"Kelly, M; Gráda, CO","Kelly, Morgan; Grada, Cormac O.","[Kelly, Morgan; Grada, Cormac O.] Univ Coll Dublin, Dublin, Ireland"
WOS:000336146600004,"Garthwaite, C; Gross, T; Notowidigdo, MJ","Garthwaite, Craig; Gross, Tal; Notowidigdo, Matthew J.","[Garthwaite, Craig] Northwestern Univ, Kellogg Sch Management, Evanston, IL 60208 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Columbia Univ, Mailman Sch Publ Hlth, New York, NY 10027 USA; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000979999900001,"Cortés, P; Pan, J; Pilossoph, L; Reuben, E; Zafar, B","Cortes, Patricia; Pan, Jessica; Pilossoph, Laura; Reuben, Ernesto; Zafar, Basit","[Cortes, Patricia] Boston Univ, Questrom Sch Business, Boston, MA 02215 USA; Natl Bur Econ Res, Cambridge, MA USA; Natl Univ Singapore, Singapore, Singapore; Inst Lab Econ, Bonn, Germany; Ctr Econ Policy & Res, London, England; Duke Univ, Durham, NC USA; New York Univ Abu Dhabi, Abu Dhabi, U Arab Emirates; Luxembourg Inst Socioecon Res, Luxembourg, Luxembourg; Univ Michigan, Ann Arbor, MI USA"
WOS:000946887400001,"Agan, A; Doleac, JL; Harvey, A","Agan, Amanda; Doleac, Jennifer L.; Harvey, Anna","[Agan, Amanda] Rutgers State Univ, New Brunswick, NJ 08901 USA; Natl Bur Econ Res, Cambridge, MA USA; Texas A&M Univ, College Stn, TX USA; NYU, New York, NY USA"
WOS:000921150500004,"Alan, S; Corekcioglu, G; Sutter, M","Alan, Sule; Corekcioglu, Gozde; Sutter, Matthias","[Alan, Sule] European Univ Inst, Fiesole, Italy; [Alan, Sule] Bilkent Univ, Ankara, Turkey; Kadir Has Univ, Istanbul, Turkey; Inst Lab Econ, Bonn, Germany; Max Planck Inst Res Collect Goods, Bonn, Germany; Univ Cologne, Cologne, Germany; Univ Innsbruck, Innsbruck, Austria"
WOS:000743312400010,"Aquilina, M; Budish, E; O'Neill, P","Aquilina, Matteo; Budish, Eric; O'Neill, Peter","[Aquilina, Matteo; O'Neill, Peter] Financial Conduct Author, London, England; [Aquilina, Matteo] Financial Stabil Board, Basel, Switzerland; [Budish, Eric] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; [Budish, Eric] NBER, Cambridge, MA 02138 USA"
WOS:000728439200005,"Bandiera, O; Best, MC; Khan, AQ; Prat, A","Bandiera, Oriana; Best, Michael Carlos; Khan, Adnan Qadir; Prat, Andrea","[Bandiera, Oriana] London Sch Econ, London, England; Columbia Univ, New York, NY 10027 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000642334600012,"Carvalho, VM; Nirei, M; Saito, YU; Tahbaz-Salehi, A","Carvalho, Vasco M.; Nirei, Makoto; Saito, Yukiko U.; Tahbaz-Salehi, Alireza","[Carvalho, Vasco M.] Univ Cambridge, Alan Turing Inst, Cambridge, England; [Tahbaz-Salehi, Alireza] Ctr Econ Policy Res, Cambridge, England; [Nirei, Makoto] Univ Tokyo, Tokyo, Japan; [Saito, Yukiko U.] Waseda Univ, Tokyo, Japan; [Saito, Yukiko U.] Res Inst Econ Trade & Ind, Tokyo, Japan; [Tahbaz-Salehi, Alireza] Northwestern Univ, Evanston, IL 60208 USA"
WOS:000672777600006,"Abaluck, J; Adams-Prassl, A","Abaluck, Jason; Adams-Prassl, Abi","[Abaluck, Jason] Yale Univ, New Haven, CT 06520 USA; Univ Oxford, Oxford, England"
WOS:000544015700003,"Chetty, R; Hendren, N; Jones, MR; Porter, SR","Chetty, Raj; Hendren, Nathaniel; Jones, Maggie R.; Porter, Sonya R.","[Chetty, Raj] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; US Census Bur, Suitland, MD USA"
WOS:000544015700006,"Koijen, RSJ; Van Nieuwerburgh, S","Koijen, Ralph S. J.; Van Nieuwerburgh, Stijn","[Koijen, Ralph S. J.] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; [Koijen, Ralph S. J.; Van Nieuwerburgh, Stijn] NBER, Cambridge, MA 02138 USA; [Koijen, Ralph S. J.; Van Nieuwerburgh, Stijn] Ctr Econ Policy Res, London, England; [Van Nieuwerburgh, Stijn] Columbia Univ, Grad Sch Business, New York, NY 10027 USA"
WOS:000489162800004,"Chan, DC; Dickstein, MJ","Chan, David C.; Dickstein, Michael J.","[Chan, David C.] Stanford Univ, Stanford, CA 94305 USA; [Dickstein, Michael J.] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Dickstein, Michael J.] NYU, New York, NY 10003 USA"
WOS:000451281400009,"Gomes, R; Tirole, J","Gomes, Renato; Tirole, Jean","[Gomes, Renato] Univ Toulouse Capitole, Toulouse Sch Econ, CNRS, Toulouse, France; Univ Toulouse Capitole, Toulouse Sch Econ, IAST, Toulouse, France"
WOS:000435871300010,"Acemoglu, D; Egorov, G; Sonin, K","Acemoglu, Daron; Egorov, Georgy; Sonin, Konstantin","[Acemoglu, Daron] MIT, Cambridge, MA 02139 USA; Northwestern Univ, Evanston, IL 60208 USA; Univ Chicago, Chicago, IL 60637 USA; Higher Sch Econ, Moscow, Russia"
WOS:000412764300007,"Dal B'o, E; Finan, F; Folke, O; Persson, T; Rickne, J","Dal B'o, Ernesto; Finan, Frederico; Folke, Olle; Persson, Torsten; Rickne, Johanna","[Dal B'o, Ernesto] Univ Calif Berkeley, Berkeley, CA 94720 USA; Uppsala Univ, Dept Govt, Uppsala, Sweden; UCLS, Chicago, IL USA; Inst Int Econ Studies, Stockholm, Sweden; Stockholm Univ, SOFI, Stockholm, Sweden; IFN, Stockholm, Sweden"
WOS:000412764300009,"DellaVigna, S; Lindner, A; Reizer, B; Schmieder, JF","DellaVigna, Stefano; Lindner, Attila; Reizer, Balazs; Schmieder, Johannes F.","[DellaVigna, Stefano] Univ Calif Berkeley, Berkeley, CA 94720 USA; NBER, Cambridge, MA 02138 USA; UCL, London, England; CERS HAS, Budapest, Hungary; IFS, Linkoping, Sweden; IZA, Bonn, Germany; Cent European Univ, Budapest, Hungary; Boston Univ, Boston, MA 02215 USA; CESIfo, Munich, Germany"
WOS:000412764300011,"Haushofer, J; Shapiro, J","Haushofer, Johannes; Shapiro, Jeremy","[Haushofer, Johannes] Princeton Univ, Peretsman Scully Hall 427, Princeton, NJ 08544 USA; [Haushofer, Johannes; Shapiro, Jeremy] Busara Ctr Behav Econ, Nairobi, Kenya"
WOS:000401981500004,"Baron, M; Xiong, W","Baron, Matthew; Xiong, Wei","[Baron, Matthew] Cornell Univ, Johnson Grad Sch Management, Ithaca, NY 14853 USA; Princeton Univ, Princeton, NJ 08544 USA; Chinese Univ Hong Kong, Shenzhen, Peoples R China; NBER, Cambridge, MA 02138 USA"
WOS:000388576700009,"Nagel, S","Nagel, Stefan","[Nagel, Stefan] Univ Michigan, Natl Bur Econ Res, Ann Arbor, MI 48109 USA; [Nagel, Stefan] Ctr Econ Policy Res, Washington, DC USA"
WOS:000380249200007,"Rubinstein, A","Rubinstein, Ariel","[Rubinstein, Ariel] Tel Aviv Univ, IL-69978 Tel Aviv, Israel; [Rubinstein, Ariel] NYU, New York, NY 10003 USA"
WOS:000764764900001,"Mullainathan, S; Obermeyer, Z","Mullainathan, Sendhil; Obermeyer, Ziad","[Mullainathan, Sendhil; Obermeyer, Ziad] Univ Chicago, Chicago, IL 60637 USA; [Mullainathan, Sendhil; Obermeyer, Ziad] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000728439200004,"Alan, S; Baysan, C; Gumren, M; Kubilay, E","Alan, Sule; Baysan, Ceren; Gumren, Mert; Kubilay, Elif","[Alan, Sule] European Univ Inst, Fiesole, Italy; Bilkent Univ, Ankara, Turkey; Abdul Latif Jameel Poverty Act Lab, Milan, Italy; Univ Essex, Colchester, Essex, England; Koc Univ, Istanbul, Turkey"
WOS:000612198000010,"Caunedo, J; Keller, E","Caunedo, Julieta; Keller, Elisa","[Caunedo, Julieta] Cornell Univ, Ithaca, NY 14853 USA; [Keller, Elisa] Univ Exeter, Exeter, Devon, England"
WOS:000544015700004,"Chandra, A; Staiger, DO","Chandra, Amitabh; Staiger, Douglas O.","[Chandra, Amitabh] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; [Staiger, Douglas O.] Dartmouth Coll, Hanover, NH 03755 USA"
