UT,AU,AF,C1
WOS:000489161300001,"Song, J; Price, DJ; Guvenen, F; Bloom, N; Von Wachter, T","Song, Jae; Price, David J.; Guvenen, Fatih; Bloom, Nicholas; Von Wachter, Till","[Song, Jae] Social Secur Adm, Woodlawn, MD 21207 USA; [Price, David J.] Univ Toronto, Toronto, ON, Canada; [Guvenen, Fatih] Univ Minnesota, Minneapolis, MN 55455 USA; [Guvenen, Fatih] Fed Reserve Bank, Minneapolis, MN USA; [Guvenen, Fatih; Bloom, Nicholas; Von Wachter, Till] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Bloom, Nicholas] Stanford Univ, Stanford, CA 94305 USA; [Bloom, Nicholas] Stanford Inst Econ Policy Res, Stanford, CA USA; [Von Wachter, Till] Univ Calif Los Angeles, Los Angeles, CA USA"
WOS:000451281400005,"Arnold, D; Dobbie, W; Yang, CS","Arnold, David; Dobbie, Will; Yang, Crystal S.","[Arnold, David] Princeton Univ, Princeton, NJ 08544 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Harvard Law Sch, Cambridge, MA USA"
WOS:000406177000003,"Goldschmidt, D; Schmieder, JF","Goldschmidt, Deborah; Schmieder, Johannes F.","[Goldschmidt, Deborah] Anal Grp, Cambridge, MA USA; Boston Univ, Boston, MA 02215 USA; NBER, Cambridge, MA 02138 USA; IZA, Cambridge, MA USA; CESIFO, Cambridge, MA USA; CEPR, Cambridge, MA USA"
WOS:000383326100002,"Fajgelbaum, PD; Khandelwal, AK","Fajgelbaum, Pablo D.; Khandelwal, Amit K.","[Fajgelbaum, Pablo D.] Univ Calif Los Angeles, Los Angeles, CA 90095 USA; [Fajgelbaum, Pablo D.; Khandelwal, Amit K.] Natl Bur Econ Res, Cambridge, MA 02138 USA; Columbia Univ, New York, NY 10027 USA"
WOS:000365535400001,"Budish, E; Cramton, P; Shim, J","Budish, Eric; Cramton, Peter; Shim, John","Univ Chicago, Chicago, IL 60637 USA; Univ Maryland, College Pk, MD USA"
WOS:000359638900010,"Jha, S","Jha, Saumitra","Stanford Grad Sch Business, Stanford, CA 94305 USA"
WOS:000354733000007,"Burks, SV; Cowgill, B; Hoffman, M; Housman, M","Burks, Stephen V.; Cowgill, Bo; Hoffman, Mitchell; Housman, Michael","[Burks, Stephen V.] Univ Minnesota, Morris, MN 56267 USA; Univ Calif Berkeley, Berkeley, CA 94720 USA; Univ Toronto, Toronto, ON M5S 1A1, Canada"
WOS:000346660500007,"Eyster, E; Rabin, M","Eyster, Erik; Rabin, Matthew","[Eyster, Erik] London Sch Econ, London, England; Harvard Univ, Cambridge, MA 02138 USA"
WOS:000342236000010,"Caron, J; Fally, T; Markusen, JR","Caron, Justin; Fally, Thibault; Markusen, James R.","[Caron, Justin] MIT, Joint Program Sci & Policy Global Change, Cambridge, MA 02139 USA; Swiss Fed Inst Technol, Zurich, Switzerland; Univ Calif Berkeley, Berkeley, CA 94720 USA; Univ Colorado, Boulder, CO 80309 USA"
WOS:000330451700005,"Vavra, J","Vavra, Joseph","[Vavra, Joseph] Univ Chicago, Chicago, IL 60637 USA; [Vavra, Joseph] NBER, Cambridge, MA 02138 USA"
