UT,AU,AF
WOS:000764048500001,"DellaVigna, S; Heining, J; Schmieder, JF; Trenkle, S","DellaVigna, Stefano; Heining, Joerg; Schmieder, Johannes F.; Trenkle, Simon"
WOS:000777482200001,"Angrist, J; Autor, D; Pallais, A","Angrist, Joshua; Autor, David; Pallais, Amanda"
WOS:000489162100009,"Cantoni, D; Yang, DY; Yuchtman, N; Zhang, YJ","Cantoni, Davide; Yang, David Y.; Yuchtman, Noam; Zhang, Y. Jane"
WOS:000451281400001,"Falk, A; Becker, A; Dohmen, T; Enke, B; Huffman, D; Sunde, U","Falk, Armin; Becker, Anke; Dohmen, Thomas; Enke, Benjamin; Huffman, David; Sunde, Uwe"
WOS:000383326100007,"Araujo, MC; Carneiro, P; Cruz-Aguayo, Y; Schady, N","Araujo, M. Caridad; Carneiro, Pedro; Cruz-Aguayo, Yyannu; Schady, Norbert"
WOS:000371602500008,"Boffa, F; Piolatto, A; Ponzetto, GAM","Boffa, Federico; Piolatto, Amedeo; Ponzetto, Giacomo A. M."
WOS:000365535400003,"Bronnenberg, BJ; Dubé, JP; Gentzkow, M; Shapiro, JM","Bronnenberg, Bart J.; Dube, Jean-Pierre; Gentzkow, Matthew; Shapiro, Jesse M."
WOS:000336146600007,"Cantoni, D; Yuchtman, N","Cantoni, Davide; Yuchtman, Noam"
WOS:000330451700001,"Chodorow-Reich, G","Chodorow-Reich, Gabriel"
WOS:000330451700002,"Karabarbounis, L; Neiman, B","Karabarbounis, Loukas; Neiman, Brent"
WOS:000986374800001,"Bilal, A","Bilal, Adrien"
WOS:000935187000001,"Buggle, J; Mayer, T; Sakalli, SO; Thoenig, M","Buggle, Johannes; Mayer, Thierry; Sakalli, Seyhun Orcan; Thoenig, Mathias"
WOS:000793034100001,"Xu, CZ","Xu, Chenzi"
WOS:000770112400001,"Alvarez, F; Argente, D","Alvarez, Fernando; Argente, David"
WOS:000642334600002,"Bhandari, A; McGrattan, ER","Bhandari, Anmol; McGrattan, Ellen R."
WOS:000612198000007,"Le Barbanchon, T; Rathelot, R; Roulet, A","Le Barbanchon, Thomas; Rathelot, Roland; Roulet, Alexandra"
WOS:000489162800002,"Carlana, M","Carlana, Michela"
WOS:000401981500009,"Levine, R; Rubinstein, Y","Levine, Ross; Rubinstein, Yona"
WOS:000371602500005,"Khan, AQ; Khwaja, AI; Olken, BA","Khan, Adnan Q.; Khwaja, Asim I.; Olken, Benjamin A."
WOS:000875748600001,"Grosjean, P; Masera, F; Yousaf, H","Grosjean, Pauline; Masera, Federico; Yousaf, Hasin"
WOS:000864359300001,"Bordalo, P; Conlon, JJ; Gennaioli, N; Kwon, SY; Shleifer, A","Bordalo, Pedro; Conlon, John J.; Gennaioli, Nicola; Kwon, Spencer Y.; Shleifer, Andrei"
WOS:000763959600001,"Lanzani, G","Lanzani, Giacomo"
WOS:000612198000009,"Barron, D; Guo, YN","Barron, Daniel; Guo, Yingni"
WOS:000593217300010,"Behrens, K; Mion, G; Murata, Y; Suedekum, J","Behrens, Kristian; Mion, Giordano; Murata, Yasusada; Suedekum, Jens"
WOS:000593217300004,"Deming, DJ; Noray, K","Deming, David J.; Noray, Kadeem"
WOS:000544015700007,"Fajgelbaum, PD; Gaubert, C","Fajgelbaum, Pablo D.; Gaubert, Cecile"
WOS:000507362800008,"Liang, AN; Mu, XS","Liang, Annie; Mu, Xiaosheng"
WOS:000489163400010,"Coffman, LC; Conlon, JJ; Featherstone, CR; Kessler, JB","Coffman, Lucas C.; Conlon, John J.; Featherstone, Clayton R.; Kessler, Judd B."
WOS:000451280400007,"Bayer, P; Charles, KK","Bayer, Patrick; Charles, Kerwin Kofi"
WOS:000412764300004,"Heathcote, J; Storesletten, K; Violante, GL","Heathcote, Jonathan; Storesletten, Kjetil; Violante, Giovanni L."
WOS:000365535400008,"Lewis, RA; Rao, JM","Lewis, Randall A.; Rao, Justin M."
WOS:000346660500009,"Yanagizawa-Drott, D","Yanagizawa-Drott, David"
WOS:001051517900001,"Christensen, P; Timmins, C","Christensen, Peter; Timmins, Christopher"
WOS:000813230500001,"BYRNE, DP; MARTIN, LA; NAH, JS","BYRNE, D. A. V. I. D. P.; MARTIN, L. E. S. L. I. E. A.; NAH, J. I. A. S. H. E. E. N."
WOS:000770415300001,"Avenancio-León, CF; Howard, T","Avenancio-Leon, Carlos F.; Howard, Troup"
WOS:000642334600005,"Marinescu, I; Skandalis, D","Marinescu, Ioana; Skandalis, Daphne"
WOS:000672777600011,"Bessone, P; Rao, G; Schilbach, F; Schofield, H; Toma, M","Bessone, Pedro; Rao, Gautam; Schilbach, Frank; Schofield, Heather; Toma, Mattie"
WOS:000642334600008,"Kehrig, M; Vincent, N","Kehrig, Matthias; Vincent, Nicolas"
WOS:000593217300002,"Weigel, JL","Weigel, Jonathan L."
WOS:000544017700007,"Chetty, R; Friedman, JN; Saez, E; Turner, N; Yagan, D","Chetty, Raj; Friedman, John N.; Saez, Emmanuel; Turner, Nicholas; Yagan, Danny"
WOS:000544017700001,"Hendren, N; Sprung-Keyser, B","Hendren, Nathaniel; Sprung-Keyser, Ben"
WOS:000544017700005,"Pflueger, C; Siriwardane, E; Sunderam, A","Pflueger, Carolin; Siriwardane, Emil; Sunderam, Adi"
WOS:000451280400005,"Sorkin, I","Sorkin, Isaac"
WOS:000401981500010,"Heidhues, P; Koszegi, B","Heidhues, Paul; Koszegi, Botond"
WOS:000388576700005,"Bordalo, P; Coffman, K; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Coffman, Katherine; Gennaioli, Nicola; Shleifer, Andrei"
WOS:000383326100008,"Bleakley, H; Ferrie, J","Bleakley, Hoyt; Ferrie, Joseph"
WOS:000346660500001,"Chetty, R; Hendren, N; Kline, P; Saez, E","Chetty, Raj; Hendren, Nathaniel; Kline, Patrick; Saez, Emmanuel"
WOS:000336146600001,"Feenstra, RC; Romalis, J","Feenstra, Robert C.; Romalis, John"
WOS:000793997100001,"Folke, O; Rickne, J","Folke, Olle; Rickne, Johanna"
WOS:000764079400001,"Aneja, A; Xu, G","Aneja, Abhay; Xu, Guo"
WOS:000672777600002,"Coibion, O; Gorodnichenko, Y; Kumar, S; Ryngaert, J","Coibion, Olivier; Gorodnichenko, Yuriy; Kumar, Saten; Ryngaert, Jane"
WOS:000593217300008,"Bigio, S; La'O, J","Bigio, Saki; La'O, Jennifer"
WOS:000489162800006,"Cengiz, D; Dube, A; Lindner, A; Zipperer, B","Cengiz, Doruk; Dube, Arindrajit; Lindner, Attila; Zipperer, Ben"
WOS:000489162100005,"Burke, M; Bergquist, LF; Miguel, E","Burke, Marshall; Bergquist, Lauren Falcao; Miguel, Edward"
WOS:000406177000009,"Célérier, C; Vallée, B","Celerier, Claire; Vallee, Boris"
WOS:000401981500005,"Muir, T","Muir, Tyler"
WOS:000365535400002,"Baicker, K; Mullainathan, S; Schwartzstein, J","Baicker, Katherine; Mullainathan, Sendhil; Schwartzstein, Joshua"
WOS:000365535400006,"Squicciarini, MP; Voigtländer, N","Squicciarini, Mara P.; Voigtlaender, Nico"
WOS:000354733000010,"Callander, S; Harstad, B","Callander, Steven; Harstad, Bard"
WOS:000354733000005,"Wantchekon, L; Klasnja, M; Novta, N","Wantchekon, Leonard; Klasnja, Marko; Novta, Natalija"
WOS:000342236000004,"Gennaioli, N; Shleifer, A; Vishny, R","Gennaioli, Nicola; Shleifer, Andrei; Vishny, Robert"
WOS:001018021300001,"Esponda, I; Oprea, R; Yuksel, S","Esponda, Ignacio; Oprea, Ryan; Yuksel, Sevgi"
WOS:000935197700001,"Babina, T; He, AX; Howell, ST; Perlman, ER; Staudt, J","Babina, Tania; He, Alex Xi; Howell, Sabrina T.; Perlman, Elisabeth Ruth; Staudt, Joseph"
WOS:000763802200001,"Chan, DC; Gentzkow, M; Yu, C","Chan, David C.; Gentzkow, Matthew; Yu, Chuan"
WOS:000728439200009,"Bertrand, M; Bombardini, M; Fisman, R; Hackinen, B; Trebbi, F","Bertrand, Marianne; Bombardini, Matilde; Fisman, Raymond; Hackinen, Brad; Trebbi, Francesco"
WOS:000642334600001,"Jäger, S; Schoefer, B; Heining, J","Jager, Simon; Schoefer, Benjamin; Heining, Joerg"
WOS:000642334600009,"Macchiavello, R; Morjaria, A","Macchiavello, Rocco; Morjaria, Ameet"
WOS:000544017700004,"Bordalo, P; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Gennaioli, Nicola; Shleifer, Andrei"
WOS:000544017700006,"Caballero, RJ; Simsek, A","Caballero, Ricardo J.; Simsek, Alp"
WOS:000406177000002,"Atkin, D; Chaudhry, A; Chaudry, S; Khandelwal, AK; Verhoogen, E","Atkin, David; Chaudhry, Azam; Chaudry, Shamyla; Khandelwal, Amit K.; Verhoogen, Eric"
